Kabupaten_Kota,Provinsi,Jenis_Daging,Tahun,Konsumsi_per_Minggu_dalam_Kg,Pengeluaran_per_Minggu_dalam_IDR
Simeulue,Aceh,Daging sapi,2021,0.002,266.95
Aceh Singkil,Aceh,Daging sapi,2021,0.003,364.28
Aceh Selatan,Aceh,Daging sapi,2021,0.001,117.69
Aceh Tenggara,Aceh,Daging sapi,2021,0.003,442.51
Aceh Timur,Aceh,Daging sapi,2021,0.001,119.32
Aceh Tengah,Aceh,Daging sapi,2021,0.005,774.59
Aceh Barat,Aceh,Daging sapi,2021,0.003,392.95
Aceh Besar,Aceh,Daging sapi,2021,0.006,803.24
Pidie,Aceh,Daging sapi,2021,0.004,540.5
Bireuen,Aceh,Daging sapi,2021,0.006,934.15
Aceh Utara,Aceh,Daging sapi,2021,0.002,272.97
Aceh Barat Daya,Aceh,Daging sapi,2021,0.003,389
Gayo Lues,Aceh,Daging sapi,2021,0.021,2863.33
Aceh Tamiang,Aceh,Daging sapi,2021,0.004,504.82
Nagan Raya,Aceh,Daging sapi,2021,0.004,558.19
Aceh Jaya,Aceh,Daging sapi,2021,0.004,606.07
Bener Meriah,Aceh,Daging sapi,2021,0.002,263.91
Pidie Jaya,Aceh,Daging sapi,2021,0.003,354.86
Kota Banda Aceh,Aceh,Daging sapi,2021,0.02,2873.52
Kota Sabang,Aceh,Daging sapi,2021,0.002,222.1
Kota Langsa,Aceh,Daging sapi,2021,0.006,850.58
Kota Lhokseumawe,Aceh,Daging sapi,2021,0.009,1232.31
Kota Subulussalam,Aceh,Daging sapi,2021,,39.5
Nias,Sumatera Utara,Daging sapi,2021,,
Mandailing Natal,Sumatera Utara,Daging sapi,2021,0.002,321.68
Tapanuli Selatan,Sumatera Utara,Daging sapi,2021,0.002,285.7
Tapanuli Tengah,Sumatera Utara,Daging sapi,2021,0.001,100.09
Tapanuli Utara,Sumatera Utara,Daging sapi,2021,,40.25
Toba Samosir,Sumatera Utara,Daging sapi,2021,0.003,401.09
Labuhan Batu,Sumatera Utara,Daging sapi,2021,0.003,365.76
Asahan,Sumatera Utara,Daging sapi,2021,0.002,228.95
Simalungun,Sumatera Utara,Daging sapi,2021,0.004,377.24
Dairi,Sumatera Utara,Daging sapi,2021,0.001,163.16
Karo,Sumatera Utara,Daging sapi,2021,0.004,422.26
Deli Serdang,Sumatera Utara,Daging sapi,2021,0.005,528.04
Langkat,Sumatera Utara,Daging sapi,2021,0.001,165.37
Nias Selatan,Sumatera Utara,Daging sapi,2021,,
Humbang Hasundutan,Sumatera Utara,Daging sapi,2021,,61.18
Pakpak Bharat,Sumatera Utara,Daging sapi,2021,0.001,137.4
Samosir,Sumatera Utara,Daging sapi,2021,0.003,351.65
Serdang Bedagai,Sumatera Utara,Daging sapi,2021,0.003,315.62
Batu Bara,Sumatera Utara,Daging sapi,2021,0.002,273.73
Padang Lawas Utara,Sumatera Utara,Daging sapi,2021,0.003,347.89
Padang Lawas,Sumatera Utara,Daging sapi,2021,0.005,640.27
Labuhan Batu Selatan,Sumatera Utara,Daging sapi,2021,0.005,555.84
Labuhan Batu Utara,Sumatera Utara,Daging sapi,2021,0.003,331.42
Nias Utara,Sumatera Utara,Daging sapi,2021,,
Nias Barat,Sumatera Utara,Daging sapi,2021,,
Kota Sibolga,Sumatera Utara,Daging sapi,2021,,19.7
Kota Tanjung Balai,Sumatera Utara,Daging sapi,2021,0.002,224.63
Kota Pematang Siantar,Sumatera Utara,Daging sapi,2021,0.005,594.83
Kota Tebing Tinggi,Sumatera Utara,Daging sapi,2021,0.006,697.44
Kota Medan,Sumatera Utara,Daging sapi,2021,0.01,1194.37
Kota Binjai,Sumatera Utara,Daging sapi,2021,0.007,804.12
Kota Padangsidimpuan,Sumatera Utara,Daging sapi,2021,0.005,633.03
Kota Gunungsitoli,Sumatera Utara,Daging sapi,2021,,57.72
Kepulauan Mentawai,Sumatera Barat,Daging sapi,2021,0.001,112.05
Pesisir Selatan,Sumatera Barat,Daging sapi,2021,,10.14
Solok,Sumatera Barat,Daging sapi,2021,0.01,1182.76
Sijunjung,Sumatera Barat,Daging sapi,2021,0.005,608.97
Tanah Datar,Sumatera Barat,Daging sapi,2021,0.014,1677.03
Padang Pariaman,Sumatera Barat,Daging sapi,2021,0.008,1006.68
Agam,Sumatera Barat,Daging sapi,2021,0.013,1663.62
Lima Puluh Kota,Sumatera Barat,Daging sapi,2021,0.005,605.57
Pasaman,Sumatera Barat,Daging sapi,2021,0.003,319.48
Solok Selatan,Sumatera Barat,Daging sapi,2021,0.005,661.46
Dharmasraya,Sumatera Barat,Daging sapi,2021,0.007,858.47
Pasaman Barat,Sumatera Barat,Daging sapi,2021,0.002,219.12
Kota Padang,Sumatera Barat,Daging sapi,2021,0.018,2249.91
Kota Solok,Sumatera Barat,Daging sapi,2021,0.022,2556.25
Kota Sawah Lunto,Sumatera Barat,Daging sapi,2021,0.031,2820.44
Kota Padang Panjang,Sumatera Barat,Daging sapi,2021,0.029,3519.36
Kota Bukittinggi,Sumatera Barat,Daging sapi,2021,0.03,3804.75
Kota Payakumbuh,Sumatera Barat,Daging sapi,2021,0.015,1756.96
Kota Pariaman,Sumatera Barat,Daging sapi,2021,0.009,1255.73
Kuantan Singingi,Riau,Daging sapi,2021,0.006,780.83
Indragiri Hulu,Riau,Daging sapi,2021,0.005,764.42
Indragiri Hilir,Riau,Daging sapi,2021,0.001,108.07
Pelalawan,Riau,Daging sapi,2021,0.008,999.62
Siak,Riau,Daging sapi,2021,0.01,1256.48
Kampar,Riau,Daging sapi,2021,0.003,333.05
Rokan Hulu,Riau,Daging sapi,2021,0.007,861.07
Bengkalis,Riau,Daging sapi,2021,0.004,510.68
Rokan Hilir,Riau,Daging sapi,2021,0.004,493.93
Kepulauan Meranti,Riau,Daging sapi,2021,0.001,102.22
Kota Pekanbaru,Riau,Daging sapi,2021,0.014,2029.01
Kota Dumai,Riau,Daging sapi,2021,0.007,820.13
Kerinci,Jambi,Daging sapi,2021,0.01,1224.38
Merangin,Jambi,Daging sapi,2021,0.003,308.12
Sarolangun,Jambi,Daging sapi,2021,0.007,811.98
Batang Hari,Jambi,Daging sapi,2021,0.004,528.92
Muaro Jambi,Jambi,Daging sapi,2021,0.01,1078.4
Tanjung Jabung Timur,Jambi,Daging sapi,2021,,62.12
Tanjung Jabung Barat,Jambi,Daging sapi,2021,0.001,169.09
Tebo,Jambi,Daging sapi,2021,0.004,551.93
Bungo,Jambi,Daging sapi,2021,0.003,353.62
Kota Jambi,Jambi,Daging sapi,2021,0.013,1415.4
Kota Sungai Penuh,Jambi,Daging sapi,2021,0.023,2753
Ogan Komering Ulu,Sumatera Selatan,Daging sapi,2021,0.005,693.7
Ogan Komering Ilir,Sumatera Selatan,Daging sapi,2021,0.003,363.1
Muara Enim,Sumatera Selatan,Daging sapi,2021,0.003,303.09
Lahat,Sumatera Selatan,Daging sapi,2021,0.005,571.51
Musi Rawas,Sumatera Selatan,Daging sapi,2021,0.002,260.63
Musi Banyuasin,Sumatera Selatan,Daging sapi,2021,0.005,710.86
Banyu Asin,Sumatera Selatan,Daging sapi,2021,0.004,425.1
Ogan Komering Ulu Selatan,Sumatera Selatan,Daging sapi,2021,0.001,146.13
Ogan Komering Ulu Timur,Sumatera Selatan,Daging sapi,2021,0.003,367.18
Ogan Ilir,Sumatera Selatan,Daging sapi,2021,0.002,198.64
Empat Lawang,Sumatera Selatan,Daging sapi,2021,0.005,549.15
Penukal Abab Lematang Ilir,Sumatera Selatan,Daging sapi,2021,0.004,429.9
Musi Rawas Utara,Sumatera Selatan,Daging sapi,2021,0.006,656.57
Kota Palembang,Sumatera Selatan,Daging sapi,2021,0.012,1382.01
Kota Prabumulih,Sumatera Selatan,Daging sapi,2021,0.008,834.83
Kota Pagar Alam,Sumatera Selatan,Daging sapi,2021,0.01,1070.04
Kota Lubuklinggau,Sumatera Selatan,Daging sapi,2021,0.013,1340.85
Bengkulu Selatan,Bengkulu,Daging sapi,2021,0.006,750.59
Rejang Lebong,Bengkulu,Daging sapi,2021,0.005,550.31
Bengkulu Utara,Bengkulu,Daging sapi,2021,0.004,465.58
Kaur,Bengkulu,Daging sapi,2021,0.01,1015.24
Seluma,Bengkulu,Daging sapi,2021,0.002,191.88
Mukomuko,Bengkulu,Daging sapi,2021,0.004,445.69
Lebong,Bengkulu,Daging sapi,2021,0.005,485.34
Kepahiang,Bengkulu,Daging sapi,2021,0.004,393.99
Bengkulu Tengah,Bengkulu,Daging sapi,2021,0.003,312.03
Kota Bengkulu,Bengkulu,Daging sapi,2021,0.008,916.87
Lampung Barat,Lampung,Daging sapi,2021,0.001,167.4
Tanggamus,Lampung,Daging sapi,2021,0.002,221.26
Lampung Selatan,Lampung,Daging sapi,2021,0.003,396.71
Lampung Timur,Lampung,Daging sapi,2021,0.002,226.65
Lampung Tengah,Lampung,Daging sapi,2021,0.002,164.4
Lampung Utara,Lampung,Daging sapi,2021,0.001,127.12
Way Kanan,Lampung,Daging sapi,2021,0.003,361.81
Tulangbawang,Lampung,Daging sapi,2021,0.002,208.41
Pesawaran,Lampung,Daging sapi,2021,0.002,274.76
Pringsewu,Lampung,Daging sapi,2021,0.003,345.15
Mesuji,Lampung,Daging sapi,2021,0.002,207.43
Tulang Bawang Barat,Lampung,Daging sapi,2021,,53.28
Pesisir Barat,Lampung,Daging sapi,2021,0.003,422.19
Kota Bandar Lampung,Lampung,Daging sapi,2021,0.018,2179.11
Kota Metro,Lampung,Daging sapi,2021,0.007,814.38
Bangka,Bangka Belitung,Daging sapi,2021,0.007,827.57
Belitung,Bangka Belitung,Daging sapi,2021,0.001,132.13
Bangka Barat,Bangka Belitung,Daging sapi,2021,0.008,986.67
Bangka Tengah,Bangka Belitung,Daging sapi,2021,0.007,812.58
Bangka Selatan,Bangka Belitung,Daging sapi,2021,0.008,947.07
Belitung Timur,Bangka Belitung,Daging sapi,2021,0.006,832.61
Kota Pangkal Pinang,Bangka Belitung,Daging sapi,2021,0.015,1832.84
Karimun,Kepulauan Riau,Daging sapi,2021,0.009,1006.87
Bintan,Kepulauan Riau,Daging sapi,2021,0.008,727.16
Natuna,Kepulauan Riau,Daging sapi,2021,0.005,654.78
Lingga,Kepulauan Riau,Daging sapi,2021,,19.65
Kepulauan Anambas,Kepulauan Riau,Daging sapi,2021,0.004,555.39
Kota Batam,Kepulauan Riau,Daging sapi,2021,0.013,1295.27
Kota Tanjung Pinang,Kepulauan Riau,Daging sapi,2021,0.008,875.04
Kep. Seribu,DKI Jakarta,Daging sapi,2021,0.002,151.71
Kota Jakarta Selatan,DKI Jakarta,Daging sapi,2021,0.025,3518.09
Kota Jakarta Timur,DKI Jakarta,Daging sapi,2021,0.026,2829.84
Kota Jakarta Pusat,DKI Jakarta,Daging sapi,2021,0.033,4087.55
Kota Jakarta Barat,DKI Jakarta,Daging sapi,2021,0.023,2677.01
Kota Jakarta Utara,DKI Jakarta,Daging sapi,2021,0.024,2880.22
Bogor,Jawa Barat,Daging sapi,2021,0.007,949.2
Sukabumi,Jawa Barat,Daging sapi,2021,0.006,609.22
Cianjur,Jawa Barat,Daging sapi,2021,0.01,1177.33
Bandung,Jawa Barat,Daging sapi,2021,0.01,1222.94
Garut,Jawa Barat,Daging sapi,2021,0.004,496.88
Tasikmalaya,Jawa Barat,Daging sapi,2021,0.003,415.35
Ciamis,Jawa Barat,Daging sapi,2021,0.006,802.58
Kuningan,Jawa Barat,Daging sapi,2021,0.006,748.71
Cirebon,Jawa Barat,Daging sapi,2021,0.004,479.29
Majalengka,Jawa Barat,Daging sapi,2021,0.009,1005.14
Sumedang,Jawa Barat,Daging sapi,2021,0.007,846.96
Indramayu,Jawa Barat,Daging sapi,2021,0.007,833.3
Subang,Jawa Barat,Daging sapi,2021,0.011,1283.79
Purwakarta,Jawa Barat,Daging sapi,2021,0.007,782.44
Karawang,Jawa Barat,Daging sapi,2021,0.005,568.66
Bekasi,Jawa Barat,Daging sapi,2021,0.008,957.96
Bandung Barat,Jawa Barat,Daging sapi,2021,0.008,899.69
Pangandaran,Jawa Barat,Daging sapi,2021,0.009,1056.19
Kota Bogor,Jawa Barat,Daging sapi,2021,0.026,3553.81
Kota Sukabumi,Jawa Barat,Daging sapi,2021,0.013,1674.66
Kota Bandung,Jawa Barat,Daging sapi,2021,0.025,3375.89
Kota Cirebon,Jawa Barat,Daging sapi,2021,0.017,2293.91
Kota Bekasi,Jawa Barat,Daging sapi,2021,0.031,3900.37
Kota Depok,Jawa Barat,Daging sapi,2021,0.018,2475.15
Kota Cimahi,Jawa Barat,Daging sapi,2021,0.021,2704.04
Kota Tasikmalaya,Jawa Barat,Daging sapi,2021,0.021,2368.34
Kota Banjar,Jawa Barat,Daging sapi,2021,0.007,776.94
Cilacap,Jawa Tengah,Daging sapi,2021,0.003,374.81
Banyumas,Jawa Tengah,Daging sapi,2021,0.008,880.95
Purbalingga,Jawa Tengah,Daging sapi,2021,0.001,160.56
Banjarnegara,Jawa Tengah,Daging sapi,2021,0.005,652.08
Kebumen,Jawa Tengah,Daging sapi,2021,0.005,604.81
Purworejo,Jawa Tengah,Daging sapi,2021,0.005,644.9
Wonosobo,Jawa Tengah,Daging sapi,2021,0.006,747.05
Magelang,Jawa Tengah,Daging sapi,2021,0.004,404.66
Boyolali,Jawa Tengah,Daging sapi,2021,0.003,370.85
Klaten,Jawa Tengah,Daging sapi,2021,0.004,393.18
Sukoharjo,Jawa Tengah,Daging sapi,2021,0.007,841.11
Wonogiri,Jawa Tengah,Daging sapi,2021,0.006,656.15
Karanganyar,Jawa Tengah,Daging sapi,2021,0.005,623.93
Sragen,Jawa Tengah,Daging sapi,2021,0.004,457.32
Grobogan,Jawa Tengah,Daging sapi,2021,0.003,302.72
Blora,Jawa Tengah,Daging sapi,2021,0.005,532.04
Rembang,Jawa Tengah,Daging sapi,2021,0.003,409.83
Pati,Jawa Tengah,Daging sapi,2021,0.009,1000.04
Kudus,Jawa Tengah,Daging sapi,2021,0.004,458.66
Jepara,Jawa Tengah,Daging sapi,2021,0.004,418.55
Demak,Jawa Tengah,Daging sapi,2021,0.003,312.24
Semarang,Jawa Tengah,Daging sapi,2021,0.004,435.52
Temanggung,Jawa Tengah,Daging sapi,2021,0.001,85.25
Kendal,Jawa Tengah,Daging sapi,2021,0.005,628.66
Batang,Jawa Tengah,Daging sapi,2021,0.005,550.95
Pekalongan,Jawa Tengah,Daging sapi,2021,0.004,446.9
Pemalang,Jawa Tengah,Daging sapi,2021,0.004,493.01
Tegal,Jawa Tengah,Daging sapi,2021,0.004,478.96
Brebes,Jawa Tengah,Daging sapi,2021,0.004,520.68
Kota Magelang,Jawa Tengah,Daging sapi,2021,0.014,1802.82
Kota Surakarta,Jawa Tengah,Daging sapi,2021,0.007,877.95
Kota Salatiga,Jawa Tengah,Daging sapi,2021,0.013,1683.94
Kota Semarang,Jawa Tengah,Daging sapi,2021,0.013,1736
Kota Pekalongan,Jawa Tengah,Daging sapi,2021,0.015,1928.54
Kota Tegal,Jawa Tengah,Daging sapi,2021,0.009,1279.21
Kulon Progo,Daerah Istimewa Yogyakarta,Daging sapi,2021,0.002,257.39
Bantul,Daerah Istimewa Yogyakarta,Daging sapi,2021,0.009,1116.39
Gunung Kidul,Daerah Istimewa Yogyakarta,Daging sapi,2021,0.002,236.3
Sleman,Daerah Istimewa Yogyakarta,Daging sapi,2021,0.01,1380.73
Kota Yogyakarta,Daerah Istimewa Yogyakarta,Daging sapi,2021,0.014,1766.03
Pacitan,Jawa Timur,Daging sapi,2021,0.002,246.21
Ponorogo,Jawa Timur,Daging sapi,2021,0.004,460.92
Trenggalek,Jawa Timur,Daging sapi,2021,0.003,273.75
Tulungagung,Jawa Timur,Daging sapi,2021,0.009,995.1
Blitar,Jawa Timur,Daging sapi,2021,0.002,241.86
Kediri,Jawa Timur,Daging sapi,2021,0.01,977.92
Malang,Jawa Timur,Daging sapi,2021,0.012,1259.01
Lumajang,Jawa Timur,Daging sapi,2021,0.027,2849.72
Jember,Jawa Timur,Daging sapi,2021,0.009,980.07
Banyuwangi,Jawa Timur,Daging sapi,2021,0.007,814.37
Bondowoso,Jawa Timur,Daging sapi,2021,0.01,1026.02
Situbondo,Jawa Timur,Daging sapi,2021,0.008,889.46
Probolinggo,Jawa Timur,Daging sapi,2021,0.015,1524.96
Pasuruan,Jawa Timur,Daging sapi,2021,0.011,1234.01
Sidoarjo,Jawa Timur,Daging sapi,2021,0.038,4101.98
Mojokerto,Jawa Timur,Daging sapi,2021,0.02,2114.02
Jombang,Jawa Timur,Daging sapi,2021,0.016,1666.64
Nganjuk,Jawa Timur,Daging sapi,2021,0.005,496.28
Madiun,Jawa Timur,Daging sapi,2021,0.003,327.86
Magetan,Jawa Timur,Daging sapi,2021,0.006,693.17
Ngawi,Jawa Timur,Daging sapi,2021,0.002,181.68
Bojonegoro,Jawa Timur,Daging sapi,2021,0.008,877.55
Tuban,Jawa Timur,Daging sapi,2021,0.011,1162.25
Lamongan,Jawa Timur,Daging sapi,2021,0.007,727.38
Gresik,Jawa Timur,Daging sapi,2021,0.023,2442.97
Bangkalan,Jawa Timur,Daging sapi,2021,0.013,1462.66
Sampang,Jawa Timur,Daging sapi,2021,0.007,785.22
Pamekasan,Jawa Timur,Daging sapi,2021,0.016,1605.9
Sumenep,Jawa Timur,Daging sapi,2021,0.015,1663.07
Kota Kediri,Jawa Timur,Daging sapi,2021,0.02,2051.04
Kota Blitar,Jawa Timur,Daging sapi,2021,0.015,1757.36
Kota Malang,Jawa Timur,Daging sapi,2021,0.024,2784.99
Kota Probolinggo,Jawa Timur,Daging sapi,2021,0.015,1607.25
Kota Pasuruan,Jawa Timur,Daging sapi,2021,0.016,1821.99
Kota Mojokerto,Jawa Timur,Daging sapi,2021,0.026,2856.3
Kota Madiun,Jawa Timur,Daging sapi,2021,0.014,1610.3
Kota Surabaya,Jawa Timur,Daging sapi,2021,0.033,3640.29
Kota Batu,Jawa Timur,Daging sapi,2021,0.02,2270.55
Pandeglang,Banten,Daging sapi,2021,0.001,111.54
Lebak,Banten,Daging sapi,2021,0.005,598.99
Tangerang,Banten,Daging sapi,2021,0.005,622.52
Serang,Banten,Daging sapi,2021,0.003,347.49
Kota Tangerang,Banten,Daging sapi,2021,0.019,2237.45
Kota Cilegon,Banten,Daging sapi,2021,0.013,1669.42
Kota Serang,Banten,Daging sapi,2021,0.007,767.09
Kota Tangerang Selatan,Banten,Daging sapi,2021,0.031,4266.6
Jembrana,Bali,Daging sapi,2021,0.002,223.91
Tabanan,Bali,Daging sapi,2021,0.004,417.58
Badung,Bali,Daging sapi,2021,0.002,171.06
Gianyar,Bali,Daging sapi,2021,0.002,132.61
Klungkung,Bali,Daging sapi,2021,0.001,87.95
Bangli,Bali,Daging sapi,2021,0.001,138.36
Karangasem,Bali,Daging sapi,2021,0.001,89.08
Buleleng,Bali,Daging sapi,2021,0.002,154.78
Kota Denpasar,Bali,Daging sapi,2021,0.007,840.3
Lombok Barat,Nusa Tenggara Barat,Daging sapi,2021,0.02,2159.17
Lombok Tengah,Nusa Tenggara Barat,Daging sapi,2021,0.012,1315.81
Lombok Timur,Nusa Tenggara Barat,Daging sapi,2021,0.02,2348.69
Sumbawa,Nusa Tenggara Barat,Daging sapi,2021,0.031,3767
Dompu,Nusa Tenggara Barat,Daging sapi,2021,0.01,968.49
Bima,Nusa Tenggara Barat,Daging sapi,2021,0.005,501.39
Sumbawa Barat,Nusa Tenggara Barat,Daging sapi,2021,0.02,2401.71
Lombok Utara,Nusa Tenggara Barat,Daging sapi,2021,0.019,1928.91
Kota Mataram,Nusa Tenggara Barat,Daging sapi,2021,0.026,3509.72
Kota Bima,Nusa Tenggara Barat,Daging sapi,2021,0.01,1242.24
Sumba Barat,Nusa Tenggara Timur,Daging sapi,2021,0.02,2153.64
Sumba Timur,Nusa Tenggara Timur,Daging sapi,2021,0.008,591.97
Kupang,Nusa Tenggara Timur,Daging sapi,2021,0.007,627.91
Timor Tengah Selatan,Nusa Tenggara Timur,Daging sapi,2021,0.014,1055.86
Timor Tengah Utara,Nusa Tenggara Timur,Daging sapi,2021,0.029,2493.07
Belu,Nusa Tenggara Timur,Daging sapi,2021,0.031,2851.61
Alor,Nusa Tenggara Timur,Daging sapi,2021,0.003,341.72
Lembata,Nusa Tenggara Timur,Daging sapi,2021,,32.09
Flores Timur,Nusa Tenggara Timur,Daging sapi,2021,0.001,67.48
Sikka,Nusa Tenggara Timur,Daging sapi,2021,0.003,266.22
Ende,Nusa Tenggara Timur,Daging sapi,2021,0.002,250.56
Ngada,Nusa Tenggara Timur,Daging sapi,2021,0.004,343.99
Manggarai,Nusa Tenggara Timur,Daging sapi,2021,0.003,287.57
Rote Ndao,Nusa Tenggara Timur,Daging sapi,2021,0.01,776.88
Manggarai Barat,Nusa Tenggara Timur,Daging sapi,2021,0.004,522.84
Sumba Tengah,Nusa Tenggara Timur,Daging sapi,2021,0.004,399.04
Sumba Barat Daya,Nusa Tenggara Timur,Daging sapi,2021,0.005,374.66
Nagekeo,Nusa Tenggara Timur,Daging sapi,2021,0.002,139.42
Manggarai Timur,Nusa Tenggara Timur,Daging sapi,2021,0.004,356.3
Sabu Raijua,Nusa Tenggara Timur,Daging sapi,2021,0.003,311.68
Malaka,Nusa Tenggara Timur,Daging sapi,2021,0.019,1652.41
Kota Kupang,Nusa Tenggara Timur,Daging sapi,2021,0.012,1145.61
Sambas,Kalimantan Barat,Daging sapi,2021,0.002,244.57
Bengkayang,Kalimantan Barat,Daging sapi,2021,0.003,364.74
Landak,Kalimantan Barat,Daging sapi,2021,0.001,76.54
Mempawah,Kalimantan Barat,Daging sapi,2021,0.003,310.8
Sanggau,Kalimantan Barat,Daging sapi,2021,0.006,734.22
Ketapang,Kalimantan Barat,Daging sapi,2021,0.004,564.47
Sintang,Kalimantan Barat,Daging sapi,2021,0.002,326.57
Kapuas Hulu,Kalimantan Barat,Daging sapi,2021,0.006,875.58
Sekadau,Kalimantan Barat,Daging sapi,2021,0.001,128.57
Melawi,Kalimantan Barat,Daging sapi,2021,0.008,1120.25
Kayong Utara,Kalimantan Barat,Daging sapi,2021,0.005,739.99
Kubu Raya,Kalimantan Barat,Daging sapi,2021,0.005,537.94
Kota Pontianak,Kalimantan Barat,Daging sapi,2021,0.01,1318.99
Kota Singkawang,Kalimantan Barat,Daging sapi,2021,0.006,724.65
Kotawaringin Barat,Kalimantan Tengah,Daging sapi,2021,0.007,929.55
Kotawaringin Timur,Kalimantan Tengah,Daging sapi,2021,0.006,711.67
Kapuas,Kalimantan Tengah,Daging sapi,2021,,61.11
Barito Selatan,Kalimantan Tengah,Daging sapi,2021,0.001,118.73
Barito Utara,Kalimantan Tengah,Daging sapi,2021,0.005,703.1
Sukamara,Kalimantan Tengah,Daging sapi,2021,0.007,888.69
Lamandau,Kalimantan Tengah,Daging sapi,2021,0.009,1127.35
Seruyan,Kalimantan Tengah,Daging sapi,2021,0.005,753.53
Katingan,Kalimantan Tengah,Daging sapi,2021,0.002,307.16
Pulang Pisau,Kalimantan Tengah,Daging sapi,2021,0.004,478.06
Gunung Mas,Kalimantan Tengah,Daging sapi,2021,0.002,276.98
Barito Timur,Kalimantan Tengah,Daging sapi,2021,0.004,578.88
Murung Raya,Kalimantan Tengah,Daging sapi,2021,0.001,162.09
Kota Palangka Raya,Kalimantan Tengah,Daging sapi,2021,0.012,1467.54
Tanah Laut,Kalimantan Selatan,Daging sapi,2021,0.005,613.74
Kota Baru,Kalimantan Selatan,Daging sapi,2021,0.002,311.65
Banjar,Kalimantan Selatan,Daging sapi,2021,0.002,269.52
Barito Kuala,Kalimantan Selatan,Daging sapi,2021,0.002,228.81
Tapin,Kalimantan Selatan,Daging sapi,2021,0.006,779.4
Hulu Sungai Selatan,Kalimantan Selatan,Daging sapi,2021,0.001,70.95
Hulu Sungai Tengah,Kalimantan Selatan,Daging sapi,2021,0.001,82.27
Hulu Sungai Utara,Kalimantan Selatan,Daging sapi,2021,0.001,140.5
Tabalong,Kalimantan Selatan,Daging sapi,2021,0.008,1096.12
Tanah Bumbu,Kalimantan Selatan,Daging sapi,2021,0.003,441.34
Balangan,Kalimantan Selatan,Daging sapi,2021,0.003,338.1
Kota Banjarmasin,Kalimantan Selatan,Daging sapi,2021,0.01,1355.66
Kota Banjar Baru,Kalimantan Selatan,Daging sapi,2021,0.013,1816.67
Paser,Kalimantan Timur,Daging sapi,2021,0.012,1322.18
Kutai Barat,Kalimantan Timur,Daging sapi,2021,0.006,794.91
Kutai Kartanegara,Kalimantan Timur,Daging sapi,2021,0.005,611.25
Kutai Timur,Kalimantan Timur,Daging sapi,2021,0.008,939.79
Berau,Kalimantan Timur,Daging sapi,2021,0.008,1059.65
Penajam Paser Utara,Kalimantan Timur,Daging sapi,2021,0.004,494.08
Mahakam Ulu,Kalimantan Timur,Daging sapi,2021,0.001,167.91
Kota Balikpapan,Kalimantan Timur,Daging sapi,2021,0.017,2177.28
Kota Samarinda,Kalimantan Timur,Daging sapi,2021,0.01,1143.31
Kota Bontang,Kalimantan Timur,Daging sapi,2021,0.014,1725.67
Malinau,Kalimantan Utara,Daging sapi,2021,0.004,416.44
Bulungan,Kalimantan Utara,Daging sapi,2021,0.004,463.23
Tana Tidung,Kalimantan Utara,Daging sapi,2021,0.007,811.84
Nunukan,Kalimantan Utara,Daging sapi,2021,0.004,301.29
Kota Tarakan,Kalimantan Utara,Daging sapi,2021,0.005,557.76
Bolaang Mongondow,Sulawesi Utara,Daging sapi,2021,0.003,350.74
Minahasa,Sulawesi Utara,Daging sapi,2021,0.002,258.45
Kepulauan Sangihe,Sulawesi Utara,Daging sapi,2021,,
Kepulauan Talaud,Sulawesi Utara,Daging sapi,2021,,38.76
Minahasa Selatan,Sulawesi Utara,Daging sapi,2021,,15.92
Minahasa Utara,Sulawesi Utara,Daging sapi,2021,0.001,56.16
Bolaang Mongondow Utara,Sulawesi Utara,Daging sapi,2021,0.014,1327.13
Siau Tagulandang Biaro,Sulawesi Utara,Daging sapi,2021,,
Minahasa Tenggara,Sulawesi Utara,Daging sapi,2021,0.002,171.16
Bolaang Mongondow Selatan,Sulawesi Utara,Daging sapi,2021,0.002,184.18
Bolaang Mongondow Timur,Sulawesi Utara,Daging sapi,2021,0.004,445.27
Kota Manado,Sulawesi Utara,Daging sapi,2021,0.003,306.57
Kota Bitung,Sulawesi Utara,Daging sapi,2021,,34.69
Kota Tomohon,Sulawesi Utara,Daging sapi,2021,0.001,132.54
Kota Kotamobagu,Sulawesi Utara,Daging sapi,2021,0.003,380.97
Banggai Kepulauan,Sulawesi Tengah,Daging sapi,2021,0.004,504.28
Banggai,Sulawesi Tengah,Daging sapi,2021,0.001,116.93
Morowali,Sulawesi Tengah,Daging sapi,2021,0.002,220.74
Poso,Sulawesi Tengah,Daging sapi,2021,0.003,306.19
Donggala,Sulawesi Tengah,Daging sapi,2021,0.002,160.19
Toli-Toli,Sulawesi Tengah,Daging sapi,2021,,33.15
Buol,Sulawesi Tengah,Daging sapi,2021,0.004,390.68
Parigi Moutong,Sulawesi Tengah,Daging sapi,2021,0.002,239.91
Tojo Una-Una,Sulawesi Tengah,Daging sapi,2021,0.002,233.14
Sigi,Sulawesi Tengah,Daging sapi,2021,0.002,264.85
Banggai Laut,Sulawesi Tengah,Daging sapi,2021,0.001,171.14
Morowali Utara,Sulawesi Tengah,Daging sapi,2021,0.003,314.15
Kota Palu,Sulawesi Tengah,Daging sapi,2021,0.006,656.61
Kepulauan Selayar,Sulawesi Selatan,Daging sapi,2021,0.001,67.02
Bulukumba,Sulawesi Selatan,Daging sapi,2021,0.003,357.73
Bantaeng,Sulawesi Selatan,Daging sapi,2021,0.001,105.52
