Kabupaten_Kota,Provinsi,Jenis_Daging,Tahun,Konsumsi_per_Minggu_dalam_Kg,Pengeluaran_per_Minggu_dalam_IDR,Kategori_Konsumsi,Kategori_Pengeluaran
Simeulue,Aceh,Daging sapi,2021,0.002,266.95,Low,Low
Aceh Singkil,Aceh,Daging sapi,2021,0.003,364.28,Low,Low
Aceh Selatan,Aceh,Daging sapi,2021,0.001,117.69,Low,Low
Aceh Tenggara,Aceh,Daging sapi,2021,0.003,442.51,Low,Low
Aceh Timur,Aceh,Daging sapi,2021,0.001,119.32,Low,Low
Aceh Tengah,Aceh,Daging sapi,2021,0.005,774.59,Low,Medium
Aceh Barat,Aceh,Daging sapi,2021,0.003,392.95,Low,Low
Aceh Besar,Aceh,Daging sapi,2021,0.006,803.24,Low,Medium
Pidie,Aceh,Daging sapi,2021,0.004,540.5,Low,Low
Bireuen,Aceh,Daging sapi,2021,0.006,934.15,Low,Medium
Aceh Utara,Aceh,Daging sapi,2021,0.002,272.97,Low,Low
Aceh Barat Daya,Aceh,Daging sapi,2021,0.003,389,Low,Low
Gayo Lues,Aceh,Daging sapi,2021,0.021,2863.33,Medium,High
Aceh Tamiang,Aceh,Daging sapi,2021,0.004,504.82,Low,Low
Nagan Raya,Aceh,Daging sapi,2021,0.004,558.19,Low,Low
Aceh Jaya,Aceh,Daging sapi,2021,0.004,606.07,Low,Low
Bener Meriah,Aceh,Daging sapi,2021,0.002,263.91,Low,Low
Pidie Jaya,Aceh,Daging sapi,2021,0.003,354.86,Low,Low
Kota Banda Aceh,Aceh,Daging sapi,2021,0.02,2873.52,Medium,High
Kota Sabang,Aceh,Daging sapi,2021,0.002,222.1,Low,Low
Kota Langsa,Aceh,Daging sapi,2021,0.006,850.58,Low,Medium
Kota Lhokseumawe,Aceh,Daging sapi,2021,0.009,1232.31,Medium,Medium
Kota Subulussalam,Aceh,Daging sapi,2021,,39.5,Unknown,Low
Nias,Sumatera Utara,Daging sapi,2021,,,Unknown,Unknown
Mandailing Natal,Sumatera Utara,Daging sapi,2021,0.002,321.68,Low,Low
Tapanuli Selatan,Sumatera Utara,Daging sapi,2021,0.002,285.7,Low,Low
Tapanuli Tengah,Sumatera Utara,Daging sapi,2021,0.001,100.09,Low,Low
Tapanuli Utara,Sumatera Utara,Daging sapi,2021,,40.25,Unknown,Low
Toba Samosir,Sumatera Utara,Daging sapi,2021,0.003,401.09,Low,Low
Labuhan Batu,Sumatera Utara,Daging sapi,2021,0.003,365.76,Low,Low
Asahan,Sumatera Utara,Daging sapi,2021,0.002,228.95,Low,Low
Simalungun,Sumatera Utara,Daging sapi,2021,0.004,377.24,Low,Low
Dairi,Sumatera Utara,Daging sapi,2021,0.001,163.16,Low,Low
Karo,Sumatera Utara,Daging sapi,2021,0.004,422.26,Low,Low
Deli Serdang,Sumatera Utara,Daging sapi,2021,0.005,528.04,Low,Low
Langkat,Sumatera Utara,Daging sapi,2021,0.001,165.37,Low,Low
Nias Selatan,Sumatera Utara,Daging sapi,2021,,,Unknown,Unknown
Humbang Hasundutan,Sumatera Utara,Daging sapi,2021,,61.18,Unknown,Low
Pakpak Bharat,Sumatera Utara,Daging sapi,2021,0.001,137.4,Low,Low
Samosir,Sumatera Utara,Daging sapi,2021,0.003,351.65,Low,Low
Serdang Bedagai,Sumatera Utara,Daging sapi,2021,0.003,315.62,Low,Low
Batu Bara,Sumatera Utara,Daging sapi,2021,0.002,273.73,Low,Low
Padang Lawas Utara,Sumatera Utara,Daging sapi,2021,0.003,347.89,Low,Low
Padang Lawas,Sumatera Utara,Daging sapi,2021,0.005,640.27,Low,Medium
Labuhan Batu Selatan,Sumatera Utara,Daging sapi,2021,0.005,555.84,Low,Low
Labuhan Batu Utara,Sumatera Utara,Daging sapi,2021,0.003,331.42,Low,Low
Nias Utara,Sumatera Utara,Daging sapi,2021,,,Unknown,Unknown
Nias Barat,Sumatera Utara,Daging sapi,2021,,,Unknown,Unknown
Kota Sibolga,Sumatera Utara,Daging sapi,2021,,19.7,Unknown,Low
Kota Tanjung Balai,Sumatera Utara,Daging sapi,2021,0.002,224.63,Low,Low
Kota Pematang Siantar,Sumatera Utara,Daging sapi,2021,0.005,594.83,Low,Low
Kota Tebing Tinggi,Sumatera Utara,Daging sapi,2021,0.006,697.44,Low,Medium
Kota Medan,Sumatera Utara,Daging sapi,2021,0.01,1194.37,Medium,Medium
Kota Binjai,Sumatera Utara,Daging sapi,2021,0.007,804.12,Low,Medium
Kota Padangsidimpuan,Sumatera Utara,Daging sapi,2021,0.005,633.03,Low,Medium
Kota Gunungsitoli,Sumatera Utara,Daging sapi,2021,,57.72,Unknown,Low
Kepulauan Mentawai,Sumatera Barat,Daging sapi,2021,0.001,112.05,Low,Low
Pesisir Selatan,Sumatera Barat,Daging sapi,2021,,10.14,Unknown,Low
Solok,Sumatera Barat,Daging sapi,2021,0.01,1182.76,Medium,Medium
Sijunjung,Sumatera Barat,Daging sapi,2021,0.005,608.97,Low,Low
Tanah Datar,Sumatera Barat,Daging sapi,2021,0.014,1677.03,Medium,Medium
Padang Pariaman,Sumatera Barat,Daging sapi,2021,0.008,1006.68,Low,Medium
Agam,Sumatera Barat,Daging sapi,2021,0.013,1663.62,Medium,Medium
Lima Puluh Kota,Sumatera Barat,Daging sapi,2021,0.005,605.57,Low,Low
Pasaman,Sumatera Barat,Daging sapi,2021,0.003,319.48,Low,Low
Solok Selatan,Sumatera Barat,Daging sapi,2021,0.005,661.46,Low,Medium
Dharmasraya,Sumatera Barat,Daging sapi,2021,0.007,858.47,Low,Medium
Pasaman Barat,Sumatera Barat,Daging sapi,2021,0.002,219.12,Low,Low
Kota Padang,Sumatera Barat,Daging sapi,2021,0.018,2249.91,Medium,High
Kota Solok,Sumatera Barat,Daging sapi,2021,0.022,2556.25,Medium,High
Kota Sawah Lunto,Sumatera Barat,Daging sapi,2021,0.031,2820.44,Medium,High
Kota Padang Panjang,Sumatera Barat,Daging sapi,2021,0.029,3519.36,Medium,High
Kota Bukittinggi,Sumatera Barat,Daging sapi,2021,0.03,3804.75,Medium,High
Kota Payakumbuh,Sumatera Barat,Daging sapi,2021,0.015,1756.96,Medium,Medium
Kota Pariaman,Sumatera Barat,Daging sapi,2021,0.009,1255.73,Medium,Medium
Kuantan Singingi,Riau,Daging sapi,2021,0.006,780.83,Low,Medium
Indragiri Hulu,Riau,Daging sapi,2021,0.005,764.42,Low,Medium
Indragiri Hilir,Riau,Daging sapi,2021,0.001,108.07,Low,Low
Pelalawan,Riau,Daging sapi,2021,0.008,999.62,Low,Medium
Siak,Riau,Daging sapi,2021,0.01,1256.48,Medium,Medium
Kampar,Riau,Daging sapi,2021,0.003,333.05,Low,Low
Rokan Hulu,Riau,Daging sapi,2021,0.007,861.07,Low,Medium
Bengkalis,Riau,Daging sapi,2021,0.004,510.68,Low,Low
Rokan Hilir,Riau,Daging sapi,2021,0.004,493.93,Low,Low
Kepulauan Meranti,Riau,Daging sapi,2021,0.001,102.22,Low,Low
Kota Pekanbaru,Riau,Daging sapi,2021,0.014,2029.01,Medium,High
Kota Dumai,Riau,Daging sapi,2021,0.007,820.13,Low,Medium
Kerinci,Jambi,Daging sapi,2021,0.01,1224.38,Medium,Medium
Merangin,Jambi,Daging sapi,2021,0.003,308.12,Low,Low
Sarolangun,Jambi,Daging sapi,2021,0.007,811.98,Low,Medium
Batang Hari,Jambi,Daging sapi,2021,0.004,528.92,Low,Low
Muaro Jambi,Jambi,Daging sapi,2021,0.01,1078.4,Medium,Medium
Tanjung Jabung Timur,Jambi,Daging sapi,2021,,62.12,Unknown,Low
Tanjung Jabung Barat,Jambi,Daging sapi,2021,0.001,169.09,Low,Low
Tebo,Jambi,Daging sapi,2021,0.004,551.93,Low,Low
Bungo,Jambi,Daging sapi,2021,0.003,353.62,Low,Low
Kota Jambi,Jambi,Daging sapi,2021,0.013,1415.4,Medium,Medium
Kota Sungai Penuh,Jambi,Daging sapi,2021,0.023,2753,Medium,High
Ogan Komering Ulu,Sumatera Selatan,Daging sapi,2021,0.005,693.7,Low,Medium
Ogan Komering Ilir,Sumatera Selatan,Daging sapi,2021,0.003,363.1,Low,Low
Muara Enim,Sumatera Selatan,Daging sapi,2021,0.003,303.09,Low,Low
Lahat,Sumatera Selatan,Daging sapi,2021,0.005,571.51,Low,Low
Musi Rawas,Sumatera Selatan,Daging sapi,2021,0.002,260.63,Low,Low
Musi Banyuasin,Sumatera Selatan,Daging sapi,2021,0.005,710.86,Low,Medium
Banyu Asin,Sumatera Selatan,Daging sapi,2021,0.004,425.1,Low,Low
Ogan Komering Ulu Selatan,Sumatera Selatan,Daging sapi,2021,0.001,146.13,Low,Low
Ogan Komering Ulu Timur,Sumatera Selatan,Daging sapi,2021,0.003,367.18,Low,Low
Ogan Ilir,Sumatera Selatan,Daging sapi,2021,0.002,198.64,Low,Low
Empat Lawang,Sumatera Selatan,Daging sapi,2021,0.005,549.15,Low,Low
Penukal Abab Lematang Ilir,Sumatera Selatan,Daging sapi,2021,0.004,429.9,Low,Low
Musi Rawas Utara,Sumatera Selatan,Daging sapi,2021,0.006,656.57,Low,Medium
Kota Palembang,Sumatera Selatan,Daging sapi,2021,0.012,1382.01,Medium,Medium
Kota Prabumulih,Sumatera Selatan,Daging sapi,2021,0.008,834.83,Low,Medium
Kota Pagar Alam,Sumatera Selatan,Daging sapi,2021,0.01,1070.04,Medium,Medium
Kota Lubuklinggau,Sumatera Selatan,Daging sapi,2021,0.013,1340.85,Medium,Medium
Bengkulu Selatan,Bengkulu,Daging sapi,2021,0.006,750.59,Low,Medium
Rejang Lebong,Bengkulu,Daging sapi,2021,0.005,550.31,Low,Low
Bengkulu Utara,Bengkulu,Daging sapi,2021,0.004,465.58,Low,Low
Kaur,Bengkulu,Daging sapi,2021,0.01,1015.24,Medium,Medium
Seluma,Bengkulu,Daging sapi,2021,0.002,191.88,Low,Low
Mukomuko,Bengkulu,Daging sapi,2021,0.004,445.69,Low,Low
Lebong,Bengkulu,Daging sapi,2021,0.005,485.34,Low,Low
Kepahiang,Bengkulu,Daging sapi,2021,0.004,393.99,Low,Low
Bengkulu Tengah,Bengkulu,Daging sapi,2021,0.003,312.03,Low,Low
Kota Bengkulu,Bengkulu,Daging sapi,2021,0.008,916.87,Low,Medium
Lampung Barat,Lampung,Daging sapi,2021,0.001,167.4,Low,Low
Tanggamus,Lampung,Daging sapi,2021,0.002,221.26,Low,Low
Lampung Selatan,Lampung,Daging sapi,2021,0.003,396.71,Low,Low
Lampung Timur,Lampung,Daging sapi,2021,0.002,226.65,Low,Low
Lampung Tengah,Lampung,Daging sapi,2021,0.002,164.4,Low,Low
Lampung Utara,Lampung,Daging sapi,2021,0.001,127.12,Low,Low
Way Kanan,Lampung,Daging sapi,2021,0.003,361.81,Low,Low
Tulangbawang,Lampung,Daging sapi,2021,0.002,208.41,Low,Low
Pesawaran,Lampung,Daging sapi,2021,0.002,274.76,Low,Low
Pringsewu,Lampung,Daging sapi,2021,0.003,345.15,Low,Low
Mesuji,Lampung,Daging sapi,2021,0.002,207.43,Low,Low
Tulang Bawang Barat,Lampung,Daging sapi,2021,,53.28,Unknown,Low
Pesisir Barat,Lampung,Daging sapi,2021,0.003,422.19,Low,Low
Kota Bandar Lampung,Lampung,Daging sapi,2021,0.018,2179.11,Medium,High
Kota Metro,Lampung,Daging sapi,2021,0.007,814.38,Low,Medium
Bangka,Bangka Belitung,Daging sapi,2021,0.007,827.57,Low,Medium
Belitung,Bangka Belitung,Daging sapi,2021,0.001,132.13,Low,Low
Bangka Barat,Bangka Belitung,Daging sapi,2021,0.008,986.67,Low,Medium
Bangka Tengah,Bangka Belitung,Daging sapi,2021,0.007,812.58,Low,Medium
Bangka Selatan,Bangka Belitung,Daging sapi,2021,0.008,947.07,Low,Medium
Belitung Timur,Bangka Belitung,Daging sapi,2021,0.006,832.61,Low,Medium
Kota Pangkal Pinang,Bangka Belitung,Daging sapi,2021,0.015,1832.84,Medium,Medium
Karimun,Kepulauan Riau,Daging sapi,2021,0.009,1006.87,Medium,Medium
Bintan,Kepulauan Riau,Daging sapi,2021,0.008,727.16,Low,Medium
Natuna,Kepulauan Riau,Daging sapi,2021,0.005,654.78,Low,Medium
Lingga,Kepulauan Riau,Daging sapi,2021,,19.65,Unknown,Low
Kepulauan Anambas,Kepulauan Riau,Daging sapi,2021,0.004,555.39,Low,Low
Kota Batam,Kepulauan Riau,Daging sapi,2021,0.013,1295.27,Medium,Medium
Kota Tanjung Pinang,Kepulauan Riau,Daging sapi,2021,0.008,875.04,Low,Medium
Kep. Seribu,DKI Jakarta,Daging sapi,2021,0.002,151.71,Low,Low
Kota Jakarta Selatan,DKI Jakarta,Daging sapi,2021,0.025,3518.09,Medium,High
Kota Jakarta Timur,DKI Jakarta,Daging sapi,2021,0.026,2829.84,Medium,High
Kota Jakarta Pusat,DKI Jakarta,Daging sapi,2021,0.033,4087.55,Medium,High
Kota Jakarta Barat,DKI Jakarta,Daging sapi,2021,0.023,2677.01,Medium,High
Kota Jakarta Utara,DKI Jakarta,Daging sapi,2021,0.024,2880.22,Medium,High
Bogor,Jawa Barat,Daging sapi,2021,0.007,949.2,Low,Medium
Sukabumi,Jawa Barat,Daging sapi,2021,0.006,609.22,Low,Low
Cianjur,Jawa Barat,Daging sapi,2021,0.01,1177.33,Medium,Medium
Bandung,Jawa Barat,Daging sapi,2021,0.01,1222.94,Medium,Medium
Garut,Jawa Barat,Daging sapi,2021,0.004,496.88,Low,Low
Tasikmalaya,Jawa Barat,Daging sapi,2021,0.003,415.35,Low,Low
Ciamis,Jawa Barat,Daging sapi,2021,0.006,802.58,Low,Medium
Kuningan,Jawa Barat,Daging sapi,2021,0.006,748.71,Low,Medium
Cirebon,Jawa Barat,Daging sapi,2021,0.004,479.29,Low,Low
Majalengka,Jawa Barat,Daging sapi,2021,0.009,1005.14,Medium,Medium
Sumedang,Jawa Barat,Daging sapi,2021,0.007,846.96,Low,Medium
Indramayu,Jawa Barat,Daging sapi,2021,0.007,833.3,Low,Medium
Subang,Jawa Barat,Daging sapi,2021,0.011,1283.79,Medium,Medium
Purwakarta,Jawa Barat,Daging sapi,2021,0.007,782.44,Low,Medium
Karawang,Jawa Barat,Daging sapi,2021,0.005,568.66,Low,Low
Bekasi,Jawa Barat,Daging sapi,2021,0.008,957.96,Low,Medium
Bandung Barat,Jawa Barat,Daging sapi,2021,0.008,899.69,Low,Medium
Pangandaran,Jawa Barat,Daging sapi,2021,0.009,1056.19,Medium,Medium
Kota Bogor,Jawa Barat,Daging sapi,2021,0.026,3553.81,Medium,High
Kota Sukabumi,Jawa Barat,Daging sapi,2021,0.013,1674.66,Medium,Medium
Kota Bandung,Jawa Barat,Daging sapi,2021,0.025,3375.89,Medium,High
Kota Cirebon,Jawa Barat,Daging sapi,2021,0.017,2293.91,Medium,High
Kota Bekasi,Jawa Barat,Daging sapi,2021,0.031,3900.37,Medium,High
Kota Depok,Jawa Barat,Daging sapi,2021,0.018,2475.15,Medium,High
Kota Cimahi,Jawa Barat,Daging sapi,2021,0.021,2704.04,Medium,High
Kota Tasikmalaya,Jawa Barat,Daging sapi,2021,0.021,2368.34,Medium,High
Kota Banjar,Jawa Barat,Daging sapi,2021,0.007,776.94,Low,Medium
Cilacap,Jawa Tengah,Daging sapi,2021,0.003,374.81,Low,Low
Banyumas,Jawa Tengah,Daging sapi,2021,0.008,880.95,Low,Medium
Purbalingga,Jawa Tengah,Daging sapi,2021,0.001,160.56,Low,Low
Banjarnegara,Jawa Tengah,Daging sapi,2021,0.005,652.08,Low,Medium
Kebumen,Jawa Tengah,Daging sapi,2021,0.005,604.81,Low,Low
Purworejo,Jawa Tengah,Daging sapi,2021,0.005,644.9,Low,Medium
Wonosobo,Jawa Tengah,Daging sapi,2021,0.006,747.05,Low,Medium
Magelang,Jawa Tengah,Daging sapi,2021,0.004,404.66,Low,Low
Boyolali,Jawa Tengah,Daging sapi,2021,0.003,370.85,Low,Low
Klaten,Jawa Tengah,Daging sapi,2021,0.004,393.18,Low,Low
Sukoharjo,Jawa Tengah,Daging sapi,2021,0.007,841.11,Low,Medium
Wonogiri,Jawa Tengah,Daging sapi,2021,0.006,656.15,Low,Medium
Karanganyar,Jawa Tengah,Daging sapi,2021,0.005,623.93,Low,Medium
Sragen,Jawa Tengah,Daging sapi,2021,0.004,457.32,Low,Low
Grobogan,Jawa Tengah,Daging sapi,2021,0.003,302.72,Low,Low
Blora,Jawa Tengah,Daging sapi,2021,0.005,532.04,Low,Low
Rembang,Jawa Tengah,Daging sapi,2021,0.003,409.83,Low,Low
Pati,Jawa Tengah,Daging sapi,2021,0.009,1000.04,Medium,Medium
Kudus,Jawa Tengah,Daging sapi,2021,0.004,458.66,Low,Low
Jepara,Jawa Tengah,Daging sapi,2021,0.004,418.55,Low,Low
Demak,Jawa Tengah,Daging sapi,2021,0.003,312.24,Low,Low
Semarang,Jawa Tengah,Daging sapi,2021,0.004,435.52,Low,Low
Temanggung,Jawa Tengah,Daging sapi,2021,0.001,85.25,Low,Low
Kendal,Jawa Tengah,Daging sapi,2021,0.005,628.66,Low,Medium
Batang,Jawa Tengah,Daging sapi,2021,0.005,550.95,Low,Low
Pekalongan,Jawa Tengah,Daging sapi,2021,0.004,446.9,Low,Low
Pemalang,Jawa Tengah,Daging sapi,2021,0.004,493.01,Low,Low
Tegal,Jawa Tengah,Daging sapi,2021,0.004,478.96,Low,Low
Brebes,Jawa Tengah,Daging sapi,2021,0.004,520.68,Low,Low
Kota Magelang,Jawa Tengah,Daging sapi,2021,0.014,1802.82,Medium,Medium
Kota Surakarta,Jawa Tengah,Daging sapi,2021,0.007,877.95,Low,Medium
Kota Salatiga,Jawa Tengah,Daging sapi,2021,0.013,1683.94,Medium,Medium
Kota Semarang,Jawa Tengah,Daging sapi,2021,0.013,1736,Medium,Medium
Kota Pekalongan,Jawa Tengah,Daging sapi,2021,0.015,1928.54,Medium,High
Kota Tegal,Jawa Tengah,Daging sapi,2021,0.009,1279.21,Medium,Medium
Kulon Progo,Daerah Istimewa Yogyakarta,Daging sapi,2021,0.002,257.39,Low,Low
Bantul,Daerah Istimewa Yogyakarta,Daging sapi,2021,0.009,1116.39,Medium,Medium
Gunung Kidul,Daerah Istimewa Yogyakarta,Daging sapi,2021,0.002,236.3,Low,Low
Sleman,Daerah Istimewa Yogyakarta,Daging sapi,2021,0.01,1380.73,Medium,Medium
Kota Yogyakarta,Daerah Istimewa Yogyakarta,Daging sapi,2021,0.014,1766.03,Medium,Medium
Pacitan,Jawa Timur,Daging sapi,2021,0.002,246.21,Low,Low
Ponorogo,Jawa Timur,Daging sapi,2021,0.004,460.92,Low,Low
Trenggalek,Jawa Timur,Daging sapi,2021,0.003,273.75,Low,Low
Tulungagung,Jawa Timur,Daging sapi,2021,0.009,995.1,Medium,Medium
Blitar,Jawa Timur,Daging sapi,2021,0.002,241.86,Low,Low
Kediri,Jawa Timur,Daging sapi,2021,0.01,977.92,Medium,Medium
Malang,Jawa Timur,Daging sapi,2021,0.012,1259.01,Medium,Medium
Lumajang,Jawa Timur,Daging sapi,2021,0.027,2849.72,Medium,High
Jember,Jawa Timur,Daging sapi,2021,0.009,980.07,Medium,Medium
Banyuwangi,Jawa Timur,Daging sapi,2021,0.007,814.37,Low,Medium
Bondowoso,Jawa Timur,Daging sapi,2021,0.01,1026.02,Medium,Medium
Situbondo,Jawa Timur,Daging sapi,2021,0.008,889.46,Low,Medium
Probolinggo,Jawa Timur,Daging sapi,2021,0.015,1524.96,Medium,Medium
Pasuruan,Jawa Timur,Daging sapi,2021,0.011,1234.01,Medium,Medium
Sidoarjo,Jawa Timur,Daging sapi,2021,0.038,4101.98,High,High
Mojokerto,Jawa Timur,Daging sapi,2021,0.02,2114.02,Medium,High
Jombang,Jawa Timur,Daging sapi,2021,0.016,1666.64,Medium,Medium
Nganjuk,Jawa Timur,Daging sapi,2021,0.005,496.28,Low,Low
Madiun,Jawa Timur,Daging sapi,2021,0.003,327.86,Low,Low
Magetan,Jawa Timur,Daging sapi,2021,0.006,693.17,Low,Medium
Ngawi,Jawa Timur,Daging sapi,2021,0.002,181.68,Low,Low
Bojonegoro,Jawa Timur,Daging sapi,2021,0.008,877.55,Low,Medium
Tuban,Jawa Timur,Daging sapi,2021,0.011,1162.25,Medium,Medium
Lamongan,Jawa Timur,Daging sapi,2021,0.007,727.38,Low,Medium
Gresik,Jawa Timur,Daging sapi,2021,0.023,2442.97,Medium,High
Bangkalan,Jawa Timur,Daging sapi,2021,0.013,1462.66,Medium,Medium
Sampang,Jawa Timur,Daging sapi,2021,0.007,785.22,Low,Medium
Pamekasan,Jawa Timur,Daging sapi,2021,0.016,1605.9,Medium,Medium
Sumenep,Jawa Timur,Daging sapi,2021,0.015,1663.07,Medium,Medium
Kota Kediri,Jawa Timur,Daging sapi,2021,0.02,2051.04,Medium,High
Kota Blitar,Jawa Timur,Daging sapi,2021,0.015,1757.36,Medium,Medium
Kota Malang,Jawa Timur,Daging sapi,2021,0.024,2784.99,Medium,High
Kota Probolinggo,Jawa Timur,Daging sapi,2021,0.015,1607.25,Medium,Medium
Kota Pasuruan,Jawa Timur,Daging sapi,2021,0.016,1821.99,Medium,Medium
Kota Mojokerto,Jawa Timur,Daging sapi,2021,0.026,2856.3,Medium,High
Kota Madiun,Jawa Timur,Daging sapi,2021,0.014,1610.3,Medium,Medium
Kota Surabaya,Jawa Timur,Daging sapi,2021,0.033,3640.29,Medium,High
Kota Batu,Jawa Timur,Daging sapi,2021,0.02,2270.55,Medium,High
Pandeglang,Banten,Daging sapi,2021,0.001,111.54,Low,Low
Lebak,Banten,Daging sapi,2021,0.005,598.99,Low,Low
Tangerang,Banten,Daging sapi,2021,0.005,622.52,Low,Medium
Serang,Banten,Daging sapi,2021,0.003,347.49,Low,Low
Kota Tangerang,Banten,Daging sapi,2021,0.019,2237.45,Medium,High
Kota Cilegon,Banten,Daging sapi,2021,0.013,1669.42,Medium,Medium
Kota Serang,Banten,Daging sapi,2021,0.007,767.09,Low,Medium
Kota Tangerang Selatan,Banten,Daging sapi,2021,0.031,4266.6,Medium,High
Jembrana,Bali,Daging sapi,2021,0.002,223.91,Low,Low
Tabanan,Bali,Daging sapi,2021,0.004,417.58,Low,Low
Badung,Bali,Daging sapi,2021,0.002,171.06,Low,Low
Gianyar,Bali,Daging sapi,2021,0.002,132.61,Low,Low
Klungkung,Bali,Daging sapi,2021,0.001,87.95,Low,Low
Bangli,Bali,Daging sapi,2021,0.001,138.36,Low,Low
Karangasem,Bali,Daging sapi,2021,0.001,89.08,Low,Low
Buleleng,Bali,Daging sapi,2021,0.002,154.78,Low,Low
Kota Denpasar,Bali,Daging sapi,2021,0.007,840.3,Low,Medium
Lombok Barat,Nusa Tenggara Barat,Daging sapi,2021,0.02,2159.17,Medium,High
Lombok Tengah,Nusa Tenggara Barat,Daging sapi,2021,0.012,1315.81,Medium,Medium
Lombok Timur,Nusa Tenggara Barat,Daging sapi,2021,0.02,2348.69,Medium,High
Sumbawa,Nusa Tenggara Barat,Daging sapi,2021,0.031,3767,Medium,High
Dompu,Nusa Tenggara Barat,Daging sapi,2021,0.01,968.49,Medium,Medium
Bima,Nusa Tenggara Barat,Daging sapi,2021,0.005,501.39,Low,Low
Sumbawa Barat,Nusa Tenggara Barat,Daging sapi,2021,0.02,2401.71,Medium,High
Lombok Utara,Nusa Tenggara Barat,Daging sapi,2021,0.019,1928.91,Medium,High
Kota Mataram,Nusa Tenggara Barat,Daging sapi,2021,0.026,3509.72,Medium,High
Kota Bima,Nusa Tenggara Barat,Daging sapi,2021,0.01,1242.24,Medium,Medium
Sumba Barat,Nusa Tenggara Timur,Daging sapi,2021,0.02,2153.64,Medium,High
Sumba Timur,Nusa Tenggara Timur,Daging sapi,2021,0.008,591.97,Low,Low
Kupang,Nusa Tenggara Timur,Daging sapi,2021,0.007,627.91,Low,Medium
Timor Tengah Selatan,Nusa Tenggara Timur,Daging sapi,2021,0.014,1055.86,Medium,Medium
Timor Tengah Utara,Nusa Tenggara Timur,Daging sapi,2021,0.029,2493.07,Medium,High
Belu,Nusa Tenggara Timur,Daging sapi,2021,0.031,2851.61,Medium,High
Alor,Nusa Tenggara Timur,Daging sapi,2021,0.003,341.72,Low,Low
Lembata,Nusa Tenggara Timur,Daging sapi,2021,,32.09,Unknown,Low
Flores Timur,Nusa Tenggara Timur,Daging sapi,2021,0.001,67.48,Low,Low
Sikka,Nusa Tenggara Timur,Daging sapi,2021,0.003,266.22,Low,Low
Ende,Nusa Tenggara Timur,Daging sapi,2021,0.002,250.56,Low,Low
Ngada,Nusa Tenggara Timur,Daging sapi,2021,0.004,343.99,Low,Low
Manggarai,Nusa Tenggara Timur,Daging sapi,2021,0.003,287.57,Low,Low
Rote Ndao,Nusa Tenggara Timur,Daging sapi,2021,0.01,776.88,Medium,Medium
Manggarai Barat,Nusa Tenggara Timur,Daging sapi,2021,0.004,522.84,Low,Low
Sumba Tengah,Nusa Tenggara Timur,Daging sapi,2021,0.004,399.04,Low,Low
Sumba Barat Daya,Nusa Tenggara Timur,Daging sapi,2021,0.005,374.66,Low,Low
Nagekeo,Nusa Tenggara Timur,Daging sapi,2021,0.002,139.42,Low,Low
Manggarai Timur,Nusa Tenggara Timur,Daging sapi,2021,0.004,356.3,Low,Low
Sabu Raijua,Nusa Tenggara Timur,Daging sapi,2021,0.003,311.68,Low,Low
Malaka,Nusa Tenggara Timur,Daging sapi,2021,0.019,1652.41,Medium,Medium
Kota Kupang,Nusa Tenggara Timur,Daging sapi,2021,0.012,1145.61,Medium,Medium
Sambas,Kalimantan Barat,Daging sapi,2021,0.002,244.57,Low,Low
Bengkayang,Kalimantan Barat,Daging sapi,2021,0.003,364.74,Low,Low
Landak,Kalimantan Barat,Daging sapi,2021,0.001,76.54,Low,Low
Mempawah,Kalimantan Barat,Daging sapi,2021,0.003,310.8,Low,Low
Sanggau,Kalimantan Barat,Daging sapi,2021,0.006,734.22,Low,Medium
Ketapang,Kalimantan Barat,Daging sapi,2021,0.004,564.47,Low,Low
Sintang,Kalimantan Barat,Daging sapi,2021,0.002,326.57,Low,Low
Kapuas Hulu,Kalimantan Barat,Daging sapi,2021,0.006,875.58,Low,Medium
Sekadau,Kalimantan Barat,Daging sapi,2021,0.001,128.57,Low,Low
Melawi,Kalimantan Barat,Daging sapi,2021,0.008,1120.25,Low,Medium
Kayong Utara,Kalimantan Barat,Daging sapi,2021,0.005,739.99,Low,Medium
Kubu Raya,Kalimantan Barat,Daging sapi,2021,0.005,537.94,Low,Low
Kota Pontianak,Kalimantan Barat,Daging sapi,2021,0.01,1318.99,Medium,Medium
Kota Singkawang,Kalimantan Barat,Daging sapi,2021,0.006,724.65,Low,Medium
Kotawaringin Barat,Kalimantan Tengah,Daging sapi,2021,0.007,929.55,Low,Medium
Kotawaringin Timur,Kalimantan Tengah,Daging sapi,2021,0.006,711.67,Low,Medium
Kapuas,Kalimantan Tengah,Daging sapi,2021,,61.11,Unknown,Low
Barito Selatan,Kalimantan Tengah,Daging sapi,2021,0.001,118.73,Low,Low
Barito Utara,Kalimantan Tengah,Daging sapi,2021,0.005,703.1,Low,Medium
Sukamara,Kalimantan Tengah,Daging sapi,2021,0.007,888.69,Low,Medium
Lamandau,Kalimantan Tengah,Daging sapi,2021,0.009,1127.35,Medium,Medium
Seruyan,Kalimantan Tengah,Daging sapi,2021,0.005,753.53,Low,Medium
Katingan,Kalimantan Tengah,Daging sapi,2021,0.002,307.16,Low,Low
Pulang Pisau,Kalimantan Tengah,Daging sapi,2021,0.004,478.06,Low,Low
Gunung Mas,Kalimantan Tengah,Daging sapi,2021,0.002,276.98,Low,Low
